Census Tract,FIPS Code,Formatted FIPS,Estimated typical (median) age of all people between 2010-2014.,Estimated typical (median) age of all people between 2010-2014.,Estimated typical (median) age of all people between 2010-2014.
"36005005100, NY",36005005100,36005005100,30,,
"36085002001, NY",36085002001,36085002001,39,,
"36047033000, NY",36047033000,36047033000,36,,
"36047099800, NY",36047099800,36047099800,37,,
"36005001600, NY",36005001600,36005001600,40,,
"36081061302, NY",36081061302,36081061302,48,,
"36005004200, NY",36005004200,36005004200,36,,
"36081049200, NY",36081049200,36081049200,45,,
"36085024700, NY",36085024700,36085024700,34,,
"36047120800, NY",36047120800,36047120800,36,,
"36081124700, NY",36081124700,36081124700,43,,
"36085007500, NY",36085007500,36085007500,33,,
"36047058900, NY",36047058900,36047058900,35,,
"36081040400, NY",36081040400,36081040400,35,,
"36081049900, NY",36081049900,36081049900,41,,
"36081155101, NY",36081155101,36081155101,81,,
"36061017800, NY",36061017800,36061017800,32,,
"36061021900, NY",36061021900,36061021900,32,,
"36081041400, NY",36081041400,36081041400,33,,
"36081072300, NY",36081072300,36081072300,49,,
"36081017900, NY",36081017900,36081017900,40,,
"36085013201, NY",36085013201,36085013201,46,,
"36081087100, NY",36081087100,36081087100,34,,
"36081003700, NY",36081003700,36081003700,N/A,,
"36081099801, NY",36081099801,36081099801,35,,
"36085012500, NY",36085012500,36085012500,34,,
"36081129103, NY",36081129103,36081129103,47,,
"36081108500, NY",36081108500,36081108500,42,,
"36081122702, NY",36081122702,36081122702,32,,
"36061007500, NY",36061007500,36061007500,41,,
"36061000700, NY",36061000700,36061000700,29,,
"36061001002, NY",36061001002,36061001002,39,,
"36081114100, NY",36081114100,36081114100,50,,
"36005018400, NY",36005018400,36005018400,40,,
"36085014608, NY",36085014608,36085014608,40,,
"36081008800, NY",36081008800,36081008800,34,,
"36005002800, NY",36005002800,36005002800,42,,
"36081069702, NY",36081069702,36081069702,47,,
"36081109700, NY",36081109700,36081109700,38,,
"36061008602, NY",36061008602,36061008602,N/A,,
"36005034800, NY",36005034800,36005034800,32,,
"36081062200, NY",36081062200,36081062200,51,,
"36047060000, NY",36047060000,36047060000,42,,
"36081080302, NY",36081080302,36081080302,33,,
"36081032900, NY",36081032900,36081032900,36,,
"36085027706, NY",36085027706,36085027706,41,,
"36005033700, NY",36005033700,36005033700,43,,
"36061006000, NY",36061006000,36061006000,39,,
"36047003800, NY",36047003800,36047003800,43,,
"36061000600, NY",36061000600,36061000600,46,,
"36081062600, NY",36081062600,36081062600,39,,
"36081103201, NY",36081103201,36081103201,32,,
"36047114400, NY",36047114400,36047114400,26,,
"36061001501, NY",36061001501,36061001501,45,,
"36081028400, NY",36081028400,36081028400,28,,
"36005026400, NY",36005026400,36005026400,38,,
"36005029302, NY",36005029302,36005029302,46,,
"36081053100, NY",36081053100,36081053100,41,,
"36047096000, NY",36047096000,36047096000,N/A,,
"36047056300, NY",36047056300,36047056300,34,,
"36061015500, NY",36061015500,36061015500,43,,
"36081061602, NY",36081061602,36081061602,42,,
"36061019900, NY",36061019900,36061019900,29,,
"36081147100, NY",36081147100,36081147100,44,,
"36081005400, NY",36081005400,36081005400,39,,
"36047059401, NY",36047059401,36047059401,44,,
"36005031900, NY",36005031900,36005031900,20,,
"36005030000, NY",36005030000,36005030000,38,,
"36081048400, NY",36081048400,36081048400,40,,
"36047105801, NY",36047105801,36047105801,42,,
"36081055200, NY",36081055200,36081055200,40,,
"36005026900, NY",36005026900,36005026900,35,,
"36005018500, NY",36005018500,36005018500,30,,
"36081029900, NY",36081029900,36081029900,N/A,,
"36061017100, NY",36061017100,36061017100,42,,
"36061018300, NY",36061018300,36061018300,43,,
"36061023600, NY",36061023600,36061023600,41,,
"36005039500, NY",36005039500,36005039500,29,,
"36005038600, NY",36005038600,36005038600,31,,
"36061031900, NY",36061031900,36061031900,N/A,,
"36081144700, NY",36081144700,36081144700,43,,
"36061017500, NY",36061017500,36061017500,43,,
"36085003600, NY",36085003600,36085003600,38,,
"36081030902, NY",36081030902,36081030902,37,,
"36061017900, NY",36061017900,36061017900,41,,
"36081030904, NY",36081030904,36081030904,38,,
"36061018700, NY",36061018700,36061018700,41,,
"36047077200, NY",36047077200,36047077200,34,,
"36081064600, NY",36081064600,36081064600,42,,
"36005035600, NY",36005035600,36005035600,41,,
"36047085200, NY",36047085200,36047085200,N/A,,
"36061019100, NY",36061019100,36061019100,44,,
"36081065000, NY",36081065000,36081065000,39,,
"36081117100, NY",36081117100,36081117100,38,,
"36081022001, NY",36081022001,36081022001,35,,
"36061000800, NY",36061000800,36061000800,46,,
"36005002000, NY",36005002000,36005002000,36,,
"36081006201, NY",36081006201,36081006201,47,,
"36061022500, NY",36061022500,36061022500,35,,
"36081059500, NY",36081059500,36081059500,36,,
"36005030701, NY",36005030701,36005030701,45,,
"36047007700, NY",36047007700,36047007700,37,,
"36081097204, NY",36081097204,36081097204,47,,
"36047152200, NY",36047152200,36047152200,41,,
"36005014400, NY",36005014400,36005014400,26,,
"36061024100, NY",36061024100,36061024100,39,,
"36081047900, NY",36081047900,36081047900,40,,
"36085031901, NY",36085031901,36085031901,31,,
"36081066000, NY",36081066000,36081066000,33,,
"36061019500, NY",36061019500,36061019500,39,,
"36081113900, NY",36081113900,36081113900,40,,
"36081034700, NY",36081034700,36081034700,39,,
"36081109900, NY",36081109900,36081109900,39,,
"36081077904, NY",36081077904,36081077904,34,,
"36061001502, NY",36061001502,36061001502,28,,
"36047005601, NY",36047005601,36047005601,43,,
"36085018701, NY",36085018701,36085018701,41,,
"36081140300, NY",36081140300,36081140300,45,,
"36081044000, NY",36081044000,36081044000,33,,
"36047035400, NY",36047035400,36047035400,58,,
"36081061601, NY",36081061601,36081061601,41,,
