Census Tract,FIPS Code,Formatted FIPS,Estimated per capita income between 2010-2014.
"36005009600, NY",36005009600,36005009600,15302
"36081060701, NY",36081060701,36081060701,N/A
"36085030301, NY",36085030301,36085030301,26425
"36081162100, NY",36081162100,36081162100,26155
"36081103202, NY",36081103202,36081103202,21130
"36085006400, NY",36085006400,36085006400,23569
"36005027401, NY",36005027401,36005027401,34734
"36081161700, NY",36081161700,36081161700,32432
"36061003700, NY",36061003700,36061003700,88932
"36081122701, NY",36081122701,36081122701,24182
"36005048400, NY",36005048400,36005048400,25226
"36081130100, NY",36081130100,36081130100,31246
"36081129104, NY",36081129104,36081129104,46349
"36081065400, NY",36081065400,36081065400,28069
"36061015200, NY",36061015200,36061015200,63780
"36005033500, NY",36005033500,36005033500,44517
"36061031704, NY",36061031704,36061031704,99388
"36081133300, NY",36081133300,36081133300,36855
"36081031700, NY",36081031700,36081031700,30860
"36081120700, NY",36081120700,36081120700,30640
"36081063700, NY",36081063700,36081063700,35172
"36081063800, NY",36081063800,36081063800,27794
"36081097300, NY",36081097300,36081097300,44272
"36081157903, NY",36081157903,36081157903,32061
"36081099704, NY",36081099704,36081099704,43838
"36047030800, NY",36047030800,36047030800,24993
"36085014607, NY",36085014607,36085014607,38685
"36047034800, NY",36047034800,36047034800,20227
"36081038301, NY",36081038301,36081038301,N/A
"36081021600, NY",36081021600,36081021600,35955
"36061024700, NY",36061024700,36061024700,18822
"36081101002, NY",36081101002,36081101002,20691
"36061021100, NY",36061021100,36061021100,33801
"36061020500, NY",36061020500,36061020500,43803
"36005035800, NY",36005035800,36005035800,24212
"36061002400, NY",36061002400,36061002400,22687
"36081047800, NY",36081047800,36081047800,33597
"36081105900, NY",36081105900,36081105900,38992
"36081099703, NY",36081099703,36081099703,51338
"36081099900, NY",36081099900,36081099900,N/A
"36081025400, NY",36081025400,36081025400,12871
"36005031000, NY",36005031000,36005031000,30578
"36061015100, NY",36061015100,36061015100,70120
"36081121500, NY",36081121500,36081121500,23508
"36085020100, NY",36085020100,36085020100,29810
"36081088901, NY",36081088901,36081088901,23725
"36047069800, NY",36047069800,36047069800,31324
"36061016300, NY",36061016300,36061016300,127880
"36081014202, NY",36081014202,36081014202,18969
"36085009602, NY",36085009602,36085009602,31761
"36081103300, NY",36081103300,36081103300,32766
"36061008601, NY",36061008601,36061008601,83221
"36081035200, NY",36081035200,36081035200,26222
"36081053900, NY",36081053900,36081053900,22940
"36081086900, NY",36081086900,36081086900,19057
"36081058000, NY",36081058000,36081058000,29728
"36081005800, NY",36081005800,36081005800,30325
"36081020500, NY",36081020500,36081020500,22824
"36081012301, NY",36081012301,36081012301,34810
"36085023100, NY",36085023100,36085023100,20003
"36081134100, NY",36081134100,36081134100,30733
"36005016300, NY",36005016300,36005016300,7262
"36085003900, NY",36085003900,36085003900,31383
"36047048500, NY",36047048500,36047048500,30715
"36085011402, NY",36085011402,36085011402,39032
"36081035700, NY",36081035700,36081035700,21638
"36005030200, NY",36005030200,36005030200,28262
"36081065600, NY",36081065600,36081065600,26142
"36081094201, NY",36081094201,36081094201,21967
"36081084000, NY",36081084000,36081084000,24070
"36081077902, NY",36081077902,36081077902,31592
"36005035100, NY",36005035100,36005035100,29709
"36047005202, NY",36047005202,36047005202,52025
"36081058200, NY",36081058200,36081058200,24188
"36081117500, NY",36081117500,36081117500,31598
"36081033401, NY",36081033401,36081033401,21735
"36005032300, NY",36005032300,36005032300,47868
"36061023802, NY",36061023802,36061023802,42057
"36081140902, NY",36081140902,36081140902,32649
"36061023700, NY",36061023700,36061023700,19357
"36081000700, NY",36081000700,36081000700,58035
"36081047600, NY",36081047600,36081047600,41432
"36081024300, NY",36081024300,36081024300,23405
"36081054200, NY",36081054200,36081054200,22588
"36081142900, NY",36081142900,36081142900,30878
"36081069400, NY",36081069400,36081069400,28982
"36081020800, NY",36081020800,36081020800,21268
"36085027705, NY",36085027705,36085027705,32386
"36081042600, NY",36081042600,36081042600,15137
"36085023900, NY",36085023900,36085023900,24794
"36085027704, NY",36085027704,36085027704,35251
"36005041400, NY",36005041400,36005041400,25356
"36085002900, NY",36085002900,36085002900,18665
"36081066300, NY",36081066300,36081066300,34805
"36085011401, NY",36085011401,36085011401,27249
"36005039700, NY",36005039700,36005039700,5861
"36081029700, NY",36081029700,36081029700,26829
"36047061002, NY",36047061002,36047061002,48683
"36081054000, NY",36081054000,36081054000,20395
"36081053500, NY",36081053500,36081053500,16764
"36081035800, NY",36081035800,36081035800,25858
"36047060800, NY",36047060800,36047060800,34932
"36005009800, NY",36005009800,36005009800,23870
"36081042400, NY",36081042400,36081042400,32304
"36081047200, NY",36081047200,36081047200,36923
"36081062400, NY",36081062400,36081062400,N/A
"36061023300, NY",36061023300,36061023300,29263
"36005042600, NY",36005042600,36005042600,23342
"36047002100, NY",36047002100,36047002100,105638
"36081003300, NY",36081003300,36081003300,30038
"36047107800, NY",36047107800,36047107800,36921
"36047040700, NY",36047040700,36047040700,N/A
"36047069601, NY",36047069601,36047069601,22678
"36081102900, NY",36081102900,36081102900,28014
"36061024200, NY",36061024200,36061024200,13729
"36081124100, NY",36081124100,36081124100,28286
"36047111600, NY",36047111600,36047111600,14251
"36047005602, NY",36047005602,36047005602,44637
"36081122300, NY",36081122300,36081122300,29421
"36061006900, NY",36061006900,36061006900,121627
"36081083800, NY",36081083800,36081083800,22909
"36005005100, NY",36005005100,36005005100,11227
"36085002001, NY",36085002001,36085002001,42903
"36047033000, NY",36047033000,36047033000,15211
"36047099800, NY",36047099800,36047099800,25172
"36005001600, NY",36005001600,36005001600,18544
"36081061302, NY",36081061302,36081061302,36107
"36005004200, NY",36005004200,36005004200,12418
"36081049200, NY",36081049200,36081049200,25686
"36085024700, NY",36085024700,36085024700,27318
"36047120800, NY",36047120800,36047120800,16351
"36081124700, NY",36081124700,36081124700,35883
"36085007500, NY",36085007500,36085007500,18522
"36047058900, NY",36047058900,36047058900,39725
"36081040400, NY",36081040400,36081040400,22225
"36081049900, NY",36081049900,36081049900,23155
"36081155101, NY",36081155101,36081155101,70320
"36061017800, NY",36061017800,36061017800,22896
"36061021900, NY",36061021900,36061021900,10816
"36081041400, NY",36081041400,36081041400,18670
"36081072300, NY",36081072300,36081072300,60933
"36081017900, NY",36081017900,36081017900,21179
"36085013201, NY",36085013201,36085013201,42030
"36081087100, NY",36081087100,36081087100,19126
"36081003700, NY",36081003700,36081003700,N/A
"36081099801, NY",36081099801,36081099801,25448
"36085012500, NY",36085012500,36085012500,28083
"36081129103, NY",36081129103,36081129103,39960
"36081108500, NY",36081108500,36081108500,32625
"36081122702, NY",36081122702,36081122702,12978
"36061007500, NY",36061007500,36061007500,115056
